recipeNumber	stepNumber	stepTitle	stepDescription
484	1	Step 1	Place 2L Streets Blue Ribbon Vanilla ice-cream in a large bowl. Set aside to soften. Use a fork to mash 80g (2/3 cup) frozen raspberries and 2 tablespoons pure icing sugar until just soft. Fold mixture into ice-cream to create a swirled effect. Spoon into a 20 x 30cm slab pan lined with non-stick baking paper. Smooth surface. Place in freezer for 5 hours or overnight until firm.
484	2	Step 2	Transfer ice-cream to a work surface. Line a baking tray with non-stick baking paper. Use a 6.5cm-long, 7.5cm-wide heart-shaped cutter to cut hearts from the ice-cream. Place on prepared trays. Use a small sharp knife to make a slit at the base of each heart. Insert paddle-pop sticks into the slits. Return to the freezer for 3-4 hours or until firm.
484	3	Step 3	Stir 300g good-quality dark chocolate and 30g copha in a heatproof bowl over a saucepan of simmering water until smooth. Set aside to cool slightly. Line another tray with baking paper. Holding a heart by the stick, spoon over the chocolate to coat completely. Place on the prepared tray. Repeat with remaining hearts. Return to the freezer for 1-2 hours or until set
485	1	Step 1	Place the coffee in the glass beaker of a coffee plunger. Pour over the boiling water and stir with a metal spoon. Replace the plunger lid (but do not push plunger down). Set aside for 3 minutes to brew. Slowly push the plunger down.
485	2	Step 2	Pour the coffee into an airtight container. Place in the freezer for 10 minutes to chill.
485	3	Step 3	Pour the grappa evenly among six 30ml-capacity shot glasses. Place a scoop of ice-cream in 6 latte glasses or small serving bowls. Pour the coffee over the ice-cream. Serve immediately on individual platters with the grappa and marsala strawberries.
486	1	Step 1	Line 2 large plates with non-stick baking paper. Place 1 plate in the freezer to chill.
486	2	Step 2	Dip a melon baller in a bowl of hot water and use to scoop out 1 ball of ice-cream. Place on the chilled plate. Insert a toothpick into the centre of the ice-cream ball. Repeat to make 5 more ice-cream balls. Place in the freezer for 2 hours or until very firm.
486	3	Step 3	Place the chocolate and copha in a small microwave-safe bowl. Cook on medium/500watts/50% for 1 minute or until the chocolate and copha melt. Stir to combine. Set aside for 10 minutes to cool.
486	4	Step 4	Dip 1 ice-cream ball into the chocolate mixture and gently shake off excess. Place on the remaining lined plate and return immediately to the freezer. Repeat with the remaining ice-cream balls and chocolate mixture. Place in the freezer for 30 minutes or until very firm.
487	1	Step 1	Line the base of a 22cm (base measurement) springform pan with non-stick baking paper.
487	2	Step 2	Place the chocolate in a heatproof bowl over a saucepan of simmering water (make sure the bowl doesn't touch the water). Use a metal spoon to stir for 4 minutes or until the chocolate melts and is smooth.
487	3	Step 3	Use a balloon whisk to whisk together the egg yolks, sugar and 60ml (1/4 cup) of cream in a large bowl until pale and creamy. Gradually whisk in the chocolate. Transfer to a clean saucepan. Cook over low heat, stirring, for 5 minutes or until the mixture thickens.
487	4	Step 4	Combine the coffee and brandy in a bowl. Dip the biscuits, 1 at a time, into the coffee mixture. Line the base and side of the lined pan with one-third of the biscuits. Top with half the chocolate mixture. Arrange half the remaining biscuits, in a single layer, on top of the chocolate mixture. Repeat with the remaining chocolate mixture and biscuits.
487	5	Step 5	Use an electric beater to beat remaining cream, icing sugar and vanilla in a bowl until soft peaks form. Spread over the top of the cake. Cover and place in the fridge overnight to chill.
487	6	Step 6	Transfer cake to a serving plate. Top with cherries to serve.
488	1	Step 1	Sift icing sugar and cocoa together into a medium bowl. Add butter and milk. Using an electric mixer on low speed, mix until ingredients are combined. Increase speed to medium. Beat for a further 2 minutes.
488	2	Step 2	Spread icing over cupcakes, muffins or small cakes.
489	1	Step 1	Preheat oven to 180°C/160°C fan-forced. Grease a 6cm-deep, 22cm square cake pan. Line base and sides with 2 layers of baking paper. Grease a 6cm-deep, 22cm round (base) springform pan. Line base with baking paper. Line sides with 3 layers of baking paper, extending paper 8cm above edge of pan.
489	2	Step 2	Prepare cake mix following packet directions (reserve icing sachet for another use). Pour into prepared square pan. Bake for 30 minutes or until a skewer inserted into the centre of cake comes out clean. Stand in pan for 10 minutes. Turn onto a wire rack to cool completely.
489	3	Step 3	Using a serrated knife, trim cake to 1 1/2cm high. Using the base of the springform pan as a guide and a small sharp knife, cut around pan to form a circle of cake. Place into base of prepared round pan. Fill any small gaps with cake trimmings. Discard remaining cake trimmings.
489	4	Step 4	Using an electric mixer, beat 1/2 cup condensed milk, 1 1/2 cups thickened cream, melted dark chocolate and coffee liqueur until just-firm peaks form, being careful not to overbeat. Spoon into prepared pan over cake base, levelling top with a spatula. Tap gently on bench to remove any air bubbles. Freeze for 2 hours or until just firm.
489	5	Step 5	Using an electric mixer, beat 1/2 cup remaining condensed milk, 1 1/2 cups remaining thickened cream and hazelnut liqueur until just-firm peaks form. Gradually add cream mixture to melted milk chocolate, folding until just combined. (see Kim’s tips). Spoon over dark chocolate layer in pan, levelling top with a spatula. Tap gently on bench to remove air bubbles. Freeze for 2 hours or until just firm.
489	6	Step 6	Using an electric mixer, beat 1/2 cup remaining condensed milk, 1 1/2 cups remaining thickened cream and caramel sauce until just-firm peaks form. Spoon over milk chocolate layer in pan, levelling top with a spatula. Tap gently on bench to remove any air bubbles. Freeze for 2 hours or until just firm.
489	7	Step 7	Using an electric mixer, beat 1/2 cup remaining condensed milk, 1 1/2 cups remaining thickened cream and vanilla until just-firm peaks form. Fold in Oreo. Spoon mixture over caramel layer in pan, levelling top with a spatula. Tap gently on bench to remove any air bubbles. Cover. Freeze overnight.
489	8	Step 8	Meanwhile make Hazelnut Praline: Place sugar and 1 cup water in a heavy-based saucepan over medium heat. Cook, stirring, until sugar is dissolved. Bring to the boil. Boil, without stirring, for 8 to 10 minutes or until mixture becomes golden in colour, brushing down side of pan with cold water if sugar crystals start to form. Remove from heat. Stand for 1 minute or until slightly thickened. Using a fork and working quickly, dip hazelnuts one by one into the toffee to coat, allowing excess to drain off. Place on a baking tray lined with baking paper. Stand for 20 minutes or until set. Roughly chop half the hazelnuts. Keep remaining hazelnuts whole.
489	9	Step 9	Make Chocolate Shards: Line a baking tray with baking paper. Place chocolate melts in a microwave-safe bowl. Microwave on MEDIUM (50%), stirring with a metal spoon halfway through, for 2 minutes or until melted. Spoon onto prepared tray and spread until 2mm thick. Decorate with sprinkles. Stand for 20 minutes or until set. Roughly cut into large shards.
489	10	Step 10	Carefully remove ice-cream cake from pan. Place on a serving plate. Push chocolate shards into top of cake. Decorate cake with Maltesers, marshmallows, whole and chopped hazelnut praline and sprinkles. Serve immediately.
490	1	Step 1	Preheat oven to 200°C/180°C fan-forced. Line a large baking tray with baking paper. Combine almond meal, brown sugar and chocolate in a bowl.
490	2	Step 2	Cut a 20cm x 24cm rectangle from 1 pastry sheet. Cut 12 slits into pastry, leaving a 2cm border at edges. Cut remaining pastry sheet into an 18cm x 24cm rectangle.
490	3	Step 3	Place smaller pastry sheet on prepared tray. Spread with almond meal mixture, leaving a 3cm border. Top with pear slices. Brush border with egg. Top with larger sheet. Using a fork, press edges together to seal. Brush with egg. Sprinkle with white sugar. Bake for 30 minutes or until golden. Serve with cream.
491	1	Step 1	Soak the gelatine leaves in a bowl of cold water for 5 minutes to soften.
491	2	Step 2	Heat milk and sugar in a saucepan over medium-low heat for 4 minutes, stirring until sugar dissolves – don’t allow to boil. Add chocolate to the milk, stirring well to melt, then remove from the heat.
491	3	Step 3	Squeeze excess water from gelatine, then add leaves to the hot milk mixture, whisking well to dissolve. Stir in liqueur, if using, then strain into a jug. Allow to cool for 1 hour, stirring occasionally.
491	4	Step 4	Rinse six 150ml jelly moulds, then shake dry. Fill with milk mixture, then chill for at least 4 hours, preferably overnight, until the jellies are set.
491	5	Step 5	Meanwhile, combine apricots and honey in a small bowl with enough boiling water to cover. Stir well, then stand for 30 minutes or until apricots are plump. Drain, then halve.
491	6	Step 6	To serve, dip base of each jelly mould briefly in hot water, then turn out onto plates, with apricots on the side.
492	1	Step 1	Place the thin cream and milk in a saucepan over medium heat and bring to the boil. Remove from heat, then add the chocolate. Set aside for 5 minutes until the chocolate melts, then stir to combine.
492	2	Step 2	Meanwhile, place the gelatine leaves in a bowl of cold water for 5 minutes to soften. Squeeze dry, then add to the chocolate and milk mixture. Stir well to combine. Pour into a 1-litre (4-cup) dish. Set aside at room temperature to cool, then refrigerate for 2 hours until set.
492	3	Step 3	Meanwhile, to make praline, place nuts on a non-stick baking tray. Place sugar and 60ml (1/4 cup) water in a pan over low heat. Stir to dissolve sugar, increase heat to medium and cook until golden. Quickly pour over the walnuts to completely cover. Set aside at room temperature for 1 hour until firm. Break into rough shards and place in a food processor. Process until a mass of golden crumbs.
492	4	Step 4	Place the base of the jelly mould briefly in warm water and turn out onto a serving plate. Cut into slices and serve with cream and sprinkle with the praline.
493	1	Step 1	Preheat oven to 160°C/140°C fan-forced. Line 4 large baking trays with baking paper.
493	2	Step 2	Place butter, sugar and syrup in a saucepan over low heat. Cook, stirring, for 4 minutes or until smooth. Transfer to a large heatproof bowl. Stand for 10 minutes. Stir in egg. Sift over flours, cocoa powder, bicarbonate of soda and spices. Stir to combine. Turn dough out onto a lightly floured surface. Knead until dough no longer feels sticky. Wrap in plastic wrap. Refrigerate for 30 minutes.
493	3	Step 3	Divide dough into 8 even portions. Roll each portion into a 2cm thick, 30cm long log. Cut each log into five 6cm lengths. Place lengths onto prepared trays, 3cm apart. Shape ends of each piece into rounds. Flatten dough slightly. Bake 2 trays at a time, for 15 minutes, or until just firm to touch. Cool on trays.
493	4	Step 4	Meanwhile, make Caramel icing Whisk egg white in a small bowl until frothy. Stir in sifted sugar and flour until smooth. Stir in syrup. Spread tops of jumbles with icing. Stand at room temperature until set. Serve.
494	1	Step 1	Preheat oven to 150°C. Lightly grease 4 x 1 1/4-cup capacity ovenproof ramekins.
